2023-07-28 23:49:55.936  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : Starting NetologySpringBootCourseProjectApplication using Java 11.0.17 on DESKTOP-B0FQ2IR with PID 12104 (C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My\target\classes started by Lolipop in C:\Users\Lolipop\IdeaProjects\SpringBoot\Cource_SpringBoot_My)
2023-07-28 23:49:55.940  INFO 12104 --- [main] tologySpringBootCourseProjectApplication : No active profile set, falling back to 1 default profile: "default"
2023-07-28 23:52:57.438  INFO 12104 --- [http-nio-8080-exec-1] r.n.n.log.TransferLog                    : Комиссия за перевод: 50000RUR
2023-07-28 23:52:57.438  INFO 12104 --- [http-nio-8080-exec-1] r.n.n.log.TransferLog                    : Общая сумма списания: 5050000RUR
2023-07-28 23:52:57.438  INFO 12104 --- [http-nio-8080-exec-1] r.n.n.log.TransferLog                    : Остаток по карте: 24250000
2023-07-28 23:52:57.438  INFO 12104 --- [http-nio-8080-exec-1] r.n.n.log.TransferLog                    : Результат операции: The operation was successful.
2023-07-28 23:52:58.174  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : ---------------------
2023-07-28 23:52:58.174  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Операция в системе: 13
2023-07-28 23:52:58.174  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Операция по карте: 13
2023-07-28 23:52:58.174  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Номер карты списания: 4558445885582478
2023-07-28 23:52:58.175  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Номер карты зачисления: 455844588558247
2023-07-28 23:52:58.175  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Сумма списания: 5000000RUR
2023-07-28 23:52:58.175  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Комиссия за перевод: 50000RUR
2023-07-28 23:52:58.175  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Общая сумма списания: 5050000RUR
2023-07-28 23:52:58.175  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Остаток по карте: 19200000
2023-07-28 23:52:58.176  INFO 12104 --- [http-nio-8080-exec-2] r.n.n.log.TransferLog                    : Результат операции: The operation was successful.
